"store_id","store_name","city","country","sales_year","units_two_years_ago","units_last_year","units_this_year"
"ST-67","Apple Chadstone","Melbourne","Australia","2023","15791","15374","15369"
"ST-51","Apple Sydney","Sydney","Australia","2022","15670","15664","15212"
"ST-20","Apple Kaerntner Strasse","Vienna","Austria","2023","16123","15648","15379"
"ST-50","Apple Metrotown","Burnaby","Canada","2023","15691","15353","15131"
"ST-50","Apple Metrotown","Burnaby","Canada","2022","15961","15691","15353"
"ST-46","Apple Eaton Centre","Toronto","Canada","2023","16117","15980","15386"
"ST-37","Apple Sanlitun","Beijing","China","2023","15897","15822","15689"
"ST-37","Apple Sanlitun","Beijing","China","2022","15910","15897","15822"
"ST-38","Apple Taikoo Li","Chengdu","China","2023","16143","15544","15335"
"ST-35","Apple Shanghai IFC","Shanghai","China","2022","15983","15314","15257"
"ST-29","Apple Galeries Lafayette","Paris","France","2022","15744","15343","15109"
"ST-19","Apple Opera","Paris","France","2023","16156","15746","15385"
"ST-18","Apple Champs-Elysees","Paris","France","2023","16442","15642","15349"
"ST-24","Apple Kurfuerstendamm","Berlin","Germany","2023","16175","16112","15769"
"ST-22","Apple Piazza Liberty","Milan","Italy","2023","15371","15355","15134"
"ST-22","Apple Piazza Liberty","Milan","Italy","2022","15411","15371","15355"
"ST-23","Apple Via del Corso","Rome","Italy","2023","16151","16059","15589"
"ST-44","Apple Kyoto","Kyoto","Japan","2022","15867","15757","15703"
"ST-33","Apple Marunouchi","Tokyo","Japan","2022","16067","15608","15296"
"ST-32","Apple Omotesando","Tokyo","Japan","2022","16142","15498","15005"
"ST-60","Apple Antara","Mexico City","Mexico","2023","15505","15412","14737"
"ST-60","Apple Antara","Mexico City","Mexico","2022","15722","15505","15412"
"ST-21","Apple Passeig de Gracia","Barcelona","Spain","2022","15434","15406","15139"
"ST-74","Apple Central World","Bangkok","Thailand","2023","15485","15461","15451"
"ST-41","Apple Central World","Bangkok","Thailand","2023","16474","15451","15115"
"ST-74","Apple Central World","Bangkok","Thailand","2022","15533","15485","15461"
"ST-58","Apple The Dubai Mall","Dubai","UAE","2022","16203","15805","15706"
"ST-69","Apple The Dubai Mall","Dubai","UAE","2022","16162","15517","15204"
"ST-59","Apple Mall of the Emirates","Dubai","UAE","2023","16029","15797","15363"
"ST-73","Apple Covent Garden","London","United Kingdom","2022","16282","16222","14728"
"ST-16","Apple Regent Street","London","United Kingdom","2022","16034","15430","15118"
